"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\tauri.conf.json", "JSON", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 92
"c:\Users\gamin\Desktop\Projects\strife\src\API\Channels.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 75
"c:\Users\gamin\Desktop\Projects\strife\src\API\Guilds.ts", "TypeScript", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 202
"c:\Users\gamin\Desktop\Projects\strife\src\API\Messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 420, 0, 0, 0, 25, 38, 483
"c:\Users\gamin\Desktop\Projects\strife\src\API\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 1, 12, 130
"c:\Users\gamin\Desktop\Projects\strife\src\API\Style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 26, 23, 241
"c:\Users\gamin\Desktop\Projects\strife\src\API\Tabs.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 199
"c:\Users\gamin\Desktop\Projects\strife\src\API\User.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 50
"c:\Users\gamin\Desktop\Projects\strife\src\API\Utils.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gamin\Desktop\Projects\strife\src\API\anchor.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\gamin\Desktop\Projects\strife\src\API\anchor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\gamin\Desktop\Projects\strife\src\API\settings\Style.ts", "TypeScript", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 304
"c:\Users\gamin\Desktop\Projects\strife\src\API\tests\messages.test.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 126
"c:\Users\gamin\Desktop\Projects\strife\src\AppState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 3, 15, 126
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Application\Application.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 1, 3, 48
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Application\Application.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 12, 91
"c:\Users\gamin\Desktop\Projects\strife\src\Components\ChannelList\ChannelList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 5, 17, 98
"c:\Users\gamin\Desktop\Projects\strife\src\Components\ChannelList\ChannelListCategory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 3, 38
"c:\Users\gamin\Desktop\Projects\strife\src\Components\ChannelList\ChannelListElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 4, 16, 109
"c:\Users\gamin\Desktop\Projects\strife\src\Components\ChannelList\ChannelTitle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 2, 159
"c:\Users\gamin\Desktop\Projects\strife\src\Components\ChannelList\css.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 5, 29, 248
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Attachments.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 9, 9, 42
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Attachments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 10, 2, 82
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 22, 23, 298
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Embed.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 3, 35, 255
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Embed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 5, 116
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Message.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 6, 39, 198
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\Message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 30, 18, 217
"c:\Users\gamin\Desktop\Projects\strife\src\Components\Chat\MessageContextMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 2, 47
